id,description,title,artist,year,duration,genre,link
0,meaning in life - love - Castle of Glass - passion,Castle of Glass,Linkin Park,2021,3:23,Electronic Rock,https://www.youtube.com/watch?v=8Hr-IK8OdY0
1,fun - sex - love - lover - boyfriend - girls, Wannabe,Spice Girls,1996,3:00,Pop,https://www.youtube.com/watch?v=HNehiNC_tq0
2,fun - girls - party - dancing - babygirl,Let's get loud,Jennifer Lopez,1999,4:09,Pop,https://www.youtube.com/watch?v=OZE8fmOGVC0
3,party - usa - club - dancing - girls,Party in the USA,Miley Cyrus,2010,3:29,Pop,https://www.youtube.com/watch?v=M11SvDtPBhA&pp=ygUQcGFydHkgaW4gdGhlIHVzYQ%3D%3D
